School Name,BRIN
Basisschool De Vijfmaster,06MI
Basisschool de Vink,06IX
Basisschool de Violier,03RS
Basisschool De Violier,06LB
Basisschool De Vlasbloem,14FR
Basisschool de Vlashof,10WH
Basisschool de Vlieberg,11QG
Basisschool de Vlieger,11LL
Basisschool De Vlier,07SY
Basisschool De Vlinder,05IX
Basisschool De Vlinderboom,10FZ
Basisschool De Vlinderboom,07UD
Basisschool De Vlinderboom,18MF
Basisschool De Vlinderhof,10CY
Basisschool De Vlindertuin,17EF
Basisschool De Vloedlijn,15UA
Basisschool De Vogelaar,18EO
Basisschool de Vonder,06IP
Basisschool De Vonder,11NH
Basisschool De Voorhof,08JU
Basisschool De Voorsprong,19YL
Basisschool De Vorsenpoel,19LR
Basisschool De Vryheit,03QL
Basisschool De Vuurtoren,17EW
Basisschool De Vuurvlinder,09LR
Basisschool De Vuurvlinder,11UY
Basisschool De Vuurvlinder,04WT
Basisschool de Vuurvogel,15KJ
Basisschool De Vuurvogel,10HX
Basisschool De Waayer,13XN
Basisschool de Warande Protestants Christelijk Onderwijs,04PL
Basisschool De Waterloop,08QX
Basisschool de Wegwijzer,20HH
Basisschool De Wegwijzer,05VK
Basisschool De Wegwijzer,04VS
Basisschool De Wegwijzer,23DX
Basisschool De Wegwijzer,12QF
Basisschool de Wegwijzer,13TQ
Basisschool De Wegwijzer,10FU
Basisschool De Wegwijzer,11MZ
Basisschool De Wegwijzer,04OB
Basisschool de Wegwijzer,20IT
Basisschool De Wegwijzer,06KO
Basisschool de Wegwijzer,03WV
Basisschool De Wegwijzer,05QI
Basisschool De Wegwijzer,07ZE
Basisschool De Wegwijzer School met de Bijbel,03ST
Basisschool De Weier,14XW
Basisschool De Weiert,18WH
Basisschool De Weiert,04VO
Basisschool De Welle,07JR
Basisschool De Wereldboom,21DZ
Basisschool De Wereldboom,03EE
Basisschool de Wereldburger,30GJ
Basisschool De WereldSter,12KD
Basisschool De Wereldwijzer,20UL
Basisschool De Westwijzer,05EV
Basisschool De Wichelroede,09KK
Basisschool De Wieken,14AB
Basisschool De Wiekslag,07VT
Basisschool De Wiekslag,03XZ
Basisschool De Wiekslag - school met de Bijbel,05SZ
Basisschool De Wielewaal 1e Montessori-School,20TS
Basisschool De Wijngaard,22LT
Basisschool de Wilderen,15CV
Basisschool De Wilgenhoek,09ZZ
Basisschool De Wilgenhoek,07AF
Basisschool De Windroos,07VX
Basisschool De Windwijzer,07QQ
Basisschool De Wingerd,10OK
Basisschool De Wingerd,09LC
Basisschool De Wissel,08NO
Basisschool de Wissel voor Interconfessioneel Basisonderwijs,24PB
Basisschool de Wittenberg,03LN
Basisschool de Woanderboom,03SV
Basisschool De Wouter,03VA
Basisschool De Zaaier,05PR
Basisschool De Zandplaat,18OL
Basisschool de Zandplaat,14ZQ
